PassengerID,PClass,Age,Sex,Survived
1143,3rd,NA,male,0
1144,3rd,NA,male,0
1145,3rd,NA,male,0
1146,3rd,NA,male,0
1147,3rd,NA,male,0
1148,3rd,NA,male,0
1149,3rd,NA,female,0
1150,3rd,NA,female,0
1151,3rd,NA,male,0
1152,3rd,NA,female,1
1153,3rd,NA,male,0
1154,3rd,NA,female,0
1155,3rd,NA,male,0
1156,3rd,NA,female,0
1157,3rd,NA,male,0
1158,3rd,NA,male,0
1159,3rd,NA,female,0
1160,3rd,NA,female,0
1161,3rd,NA,male,0
1162,3rd,NA,female,1
1163,3rd,NA,male,0
1164,3rd,NA,male,0
1165,3rd,NA,male,1
1166,3rd,NA,male,0
1167,3rd,NA,male,0
1168,3rd,NA,male,1
1169,3rd,NA,male,0
1170,3rd,NA,male,0
1171,3rd,NA,female,0
1172,3rd,NA,female,0
1173,3rd,NA,female,0
1174,3rd,NA,male,0
1175,3rd,NA,male,0
1176,3rd,NA,male,0
1177,3rd,NA,male,0
1178,3rd,NA,female,0
1179,3rd,NA,female,0
1180,3rd,NA,male,0
1181,3rd,NA,male,0
1182,3rd,21,male,0
1183,3rd,NA,female,1
1184,3rd,NA,male,0
1185,3rd,NA,male,0
1186,3rd,NA,male,0
1187,3rd,NA,male,0
1188,3rd,NA,female,1
1189,3rd,1.5,female,0
1190,3rd,NA,female,0
1191,3rd,NA,male,0
1192,3rd,NA,male,0
1193,3rd,NA,male,0
1194,3rd,NA,male,0
1195,3rd,NA,male,0
1196,3rd,NA,male,0
1197,3rd,NA,male,0
1198,3rd,NA,male,0
1199,3rd,NA,male,0
1200,3rd,NA,male,1
1201,3rd,NA,male,0
1202,3rd,NA,female,1
1203,3rd,NA,male,0
1204,3rd,NA,male,0
1205,3rd,NA,male,0
1206,3rd,NA,male,0
1207,3rd,NA,male,0
1208,3rd,NA,female,1
1209,3rd,NA,male,0
1210,3rd,NA,male,0
1211,3rd,NA,male,0
1212,3rd,NA,male,0
1213,3rd,NA,female,0
1214,3rd,NA,female,0
1215,3rd,NA,male,0
1216,3rd,NA,female,0
1217,3rd,NA,male,0
1218,3rd,NA,male,0
1219,3rd,NA,male,0
1220,3rd,NA,female,1
1221,3rd,NA,female,0
1222,3rd,NA,male,0
1223,3rd,NA,male,1
1224,3rd,NA,male,0
1225,3rd,NA,male,0
1226,3rd,NA,male,0
1227,3rd,NA,female,1
1228,3rd,NA,male,0
1229,3rd,NA,male,0
1230,3rd,NA,male,0
1231,3rd,NA,female,0
1232,3rd,NA,male,1
1233,3rd,NA,male,0
1234,3rd,NA,female,0
1235,3rd,NA,female,0
1236,3rd,NA,male,1
1237,3rd,NA,male,0
1238,3rd,NA,male,0
1239,3rd,NA,male,0
1240,3rd,NA,male,1
1241,3rd,NA,male,0
1242,3rd,NA,male,0
1243,3rd,NA,male,1
1244,3rd,NA,male,0
1245,3rd,NA,female,1
1246,3rd,NA,male,0
1247,3rd,NA,male,0
1248,3rd,NA,male,0
1249,3rd,NA,male,0
1250,3rd,NA,male,0
1251,3rd,NA,male,0
1252,3rd,NA,female,1
1253,3rd,NA,male,0
1254,3rd,NA,male,0
1255,3rd,NA,male,0
1256,3rd,NA,male,0
1257,3rd,NA,male,0
1258,3rd,NA,male,0
1259,3rd,25,male,1
1260,3rd,NA,female,0
1261,3rd,NA,male,0
1262,3rd,NA,female,0
1263,3rd,NA,male,0
1264,3rd,18,female,1
1265,3rd,63,female,1
1266,3rd,NA,male,0
1267,3rd,NA,male,0
1268,3rd,NA,male,0
1269,3rd,NA,male,0
1270,3rd,18,female,0
1271,3rd,31,male,0
1272,3rd,31,female,0
1273,3rd,15,male,0
1274,3rd,28,male,0
1275,3rd,36,male,0
1276,3rd,28,male,0
1277,3rd,10,female,0
1278,3rd,36,male,0
1279,3rd,30,female,0
1280,3rd,22,male,1
1281,3rd,NA,male,0
1282,3rd,29,male,0
1283,3rd,47,male,0
1284,3rd,14,female,0
1285,3rd,22,male,0
1286,3rd,NA,male,0
1287,3rd,NA,male,0
1288,3rd,NA,male,0
1289,3rd,NA,male,0
1290,3rd,NA,male,1
1291,3rd,NA,male,0
1292,3rd,51,male,0
1293,3rd,18,male,0
1294,3rd,45,female,1
1295,3rd,NA,male,0
1296,3rd,NA,male,0
1297,3rd,NA,male,0
1298,3rd,28,male,0
1299,3rd,21,male,0
1300,3rd,27,male,0
1301,3rd,NA,male,0
1302,3rd,36,male,0
1303,3rd,NA,male,1
1304,3rd,27,male,0
1305,3rd,15,female,1
1306,3rd,NA,male,0
1307,3rd,NA,female,0
1308,3rd,NA,female,0
1309,3rd,27,male,0
1310,3rd,26,male,0
1311,3rd,22,male,0
1312,3rd,24,male,0
1313,3rd,29,male,0
